Id,Overall Qual,Year Built,Year Remod/Add,Exter Qual,Bsmt Qual,Bsmt Exposure,Heating QC,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Yr Sold,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Area,Mas Vnr Area Total Bsmt SF,Mas Vnr Area Garage Area,BsmtFin SF 1 Gr Liv Area,Total Bsmt SF^2,Total Bsmt SF 1st Flr SF,Total Bsmt SF Gr Liv Area,Total Bsmt SF Garage Area,1st Flr SF^2,1st Flr SF Gr Liv Area,1st Flr SF Garage Area,Gr Liv Area^2,Gr Liv Area Garage Area,Garage Area^2,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Central Air_Y,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_No Garage,SalePrice
109,6,1976,2005,3,3,1,4,2,3,6,0,0,2,2.0,2010,725.0,725.0,1479.0,475.0,209525.0,137275.0,788307.0,525625.0,525625.0,1072275.0,344375.0,525625.0,1072275.0,344375.0,2187441.0,702525.0,225625.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,130500
544,7,1996,1997,3,4,1,4,2,3,8,1,3,2,2.0,2009,913.0,913.0,2122.0,559.0,120516.0,73788.0,1351714.0,833569.0,833569.0,1937386.0,510367.0,833569.0,1937386.0,510367.0,4502884.0,1186198.0,312481.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,220000
153,5,1953,2007,2,3,1,2,1,3,5,0,0,1,1.0,2010,1057.0,1057.0,1057.0,246.0,0.0,0.0,772667.0,1117249.0,1117249.0,1117249.0,260022.0,1117249.0,1117249.0,260022.0,1117249.0,260022.0,60516.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109000
318,5,2006,2007,2,4,1,3,2,2,7,0,0,3,2.0,2010,384.0,744.0,1444.0,400.0,0.0,0.0,0.0,147456.0,285696.0,554496.0,153600.0,553536.0,1074336.0,297600.0,2085136.0,577600.0,160000.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,174000
255,6,1900,1993,2,2,1,2,2,2,6,0,0,1,2.0,2010,676.0,831.0,1445.0,484.0,0.0,0.0,0.0,456976.0,561756.0,976820.0,327184.0,690561.0,1200795.0,402204.0,2088025.0,699380.0,234256.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,138500
138,6,1966,2002,3,3,1,4,2,3,6,1,4,3,2.0,2010,1517.0,1888.0,1888.0,578.0,0.0,0.0,466336.0,2301289.0,2864096.0,2864096.0,876826.0,3564544.0,3564544.0,1091264.0,3564544.0,1091264.0,334084.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,190000
2827,6,2005,2006,2,4,4,3,2,2,5,0,0,3,2.0,2006,547.0,1072.0,1072.0,525.0,44854.0,43050.0,586384.0,299209.0,586384.0,586384.0,287175.0,1149184.0,1149184.0,562800.0,1149184.0,562800.0,275625.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,140000
145,5,1959,1959,2,3,1,1,1,2,6,0,0,2,2.0,2010,1188.0,1188.0,1188.0,531.0,213840.0,95580.0,1188000.0,1411344.0,1411344.0,1411344.0,630828.0,1411344.0,1411344.0,630828.0,1411344.0,630828.0,281961.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,142000
1942,5,1952,1952,2,3,1,2,1,2,6,0,0,1,1.0,2007,924.0,924.0,924.0,420.0,0.0,0.0,269808.0,853776.0,853776.0,853776.0,388080.0,853776.0,853776.0,388080.0,853776.0,388080.0,176400.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112500
1956,5,1969,1969,2,4,3,2,1,1,9,2,3,1,2.0,2007,1040.0,1040.0,2080.0,504.0,199680.0,96768.0,1352000.0,1081600.0,1081600.0,2163200.0,524160.0,1081600.0,2163200.0,524160.0,4326400.0,1048320.0,254016.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,135000
